SSN,PID,CC,Site,ICRAFPID,Lon,Lat,Depth,pH,Hp,EC,C,N,P,K,S,Ca,Mg,Al,B,Cu,Fe,Mn,Zn,Na
icr006035,TZ-9AxkJO,TZ,Chinyanghuku,Chinyanghuku-7-1,36.122227,-6.889563,10,6.492,0.09,0.153,3504,422,11.8,232.9,22,459.7,168.4,604.4,0.2876,0.7834,93.92,108,1.624,27.8
icr006036,TZ-9AxkJO,TZ,Chinyanghuku,Chinyanghuku-7-1,36.122227,-6.889563,35,6.379,0.18,0.167,2007,282,4.6,224.3,15.6,731.1,281.7,854,0.2959,1.006,117.1,115.7,1.617,44.61
icr006055,TZ-DLXx3b,TZ,Chinyanghuku,Chinyanghuku-8-1,36.118313,-6.861752,10,6.883,0.18,0.218,8022,601,55.8,408.6,15.4,2222,643.7,863.3,0.4329,1.8,199.3,172.1,2.737,44.25
icr006056,TZ-DLXx3b,TZ,Chinyanghuku,Chinyanghuku-8-1,36.118313,-6.861752,35,7.039,0.09,0.24,5322,498,34.3,198.8,12.2,2125,574.6,838,0.352,1.975,142.2,189,1.791,57.76
icr006076,TZ-QDQelD,TZ,Chinyanghuku,Chinyanghuku-9-5,36.1357,-6.93122,10,7.58,0.09,0.25,12617,1109,27.9,219.8,12.2,2460,301,828.6,0.7049,1.636,185.4,131.2,2.647,35.69
icr006077,TZ-QDQelD,TZ,Chinyanghuku,Chinyanghuku-9-5,36.1357,-6.93122,35,7.465,0.09,0.162,8798,909,19.8,197.1,13.1,2203,371,859.1,0.7309,1.694,191,133.1,3.102,48.61
icr006085,TZ-WBnz3A,TZ,Chinyanghuku,Chinyanghuku-10-2,36.1372,-6.90524,10,6.837,0.18,0.082,15859,1212,15.3,239.1,11.9,1423,283,737.8,0.6079,1.54,125.3,139.1,3.846,27.8
icr006086,TZ-WBnz3A,TZ,Chinyanghuku,Chinyanghuku-10-2,36.1372,-6.90524,35,7.092,0.18,0.082,9996,829,15.3,204,10.8,1161,289.4,642.8,0.602,1.338,125.7,148,3.463,26.93
icr006101,TZ-IBXLe9,TZ,Chinyanghuku,Chinyanghuku-11-1,36.1374,-6.88657,10,8.052,0.18,0.209,10936,1085,8.9,426.9,13.6,5261,538.9,650.4,1.18,1.963,64.6,172.9,2.871,35.8
icr006102,TZ-IBXLe9,TZ,Chinyanghuku,Chinyanghuku-11-1,36.1374,-6.88657,35,8.064,0.09,0.174,4528,484,8,183.4,45.1,3949,344.3,507,0.5053,1.427,58.68,125.6,2.83,30.75
icr006121,TZ-Ktj2sM,TZ,Chinyanghuku,Chinyanghuku-12-1,36.141056,-6.862098,10,7.081,0.18,0.106,5724,563,8,243.1,11.4,633,200.8,624.7,0.3992,0.7759,75.76,87.34,1.501,32.19
icr006122,TZ-Ktj2sM,TZ,Chinyanghuku,Chinyanghuku-12-1,36.141056,-6.862098,35,6.646,0.36,0.067,2710,286,8,135.7,9.4,496.5,275.8,745.8,0.281,0.6692,89.03,76.33,3.526,54.5
icr006142,TZ-BK3D5e,TZ,Chinyanghuku,Chinyanghuku-13-5,36.16547,-6.92808,10,6.731,0.36,0.144,23289,2143,34.4,296.4,17.5,1501,220,485.1,0.8069,1,146.5,91.13,3.228,19.63
icr006143,TZ-BK3D5e,TZ,Chinyanghuku,Chinyanghuku-13-5,36.16547,-6.92808,35,7.024,0.45,0.117,11258,1023,23.1,251.8,17.9,1042,202.8,486.8,0.5619,1.196,121,64.35,1.707,33.22
icr006152,TZ-HZ5A1g,TZ,Chinyanghuku,Chinyanghuku-14-3,36.163395,-6.904988,10,6.303,0.45,0.092,12974,1180,33.7,316.9,11.6,483.7,188.9,719.8,0.4171,0.6894,166.3,34.1,3.048,30.99
icr006153,TZ-HZ5A1g,TZ,Chinyanghuku,Chinyanghuku-14-3,36.163395,-6.904988,35,5.087,1.17,0.101,4426,414,20.5,185.3,9.8,193.4,139.7,971.3,0.1197,0.6026,156.2,11.72,1.651,31.61
icr006164,TZ-dhUQLy,TZ,Chinyanghuku,Chinyanghuku-15-2,36.166988,-6.88444,10,7.201,0.45,0.094,32452,2585,61.2,357.2,18.2,2842,383.9,523.5,1.634,1.218,131.6,101,4.498,25.23
icr006165,TZ-dhUQLy,TZ,Chinyanghuku,Chinyanghuku-15-2,36.166988,-6.88444,35,7.126,0.36,0.099,10188,807,15.1,237.7,10.7,1288,343,668.4,0.5363,0.9556,146.7,65.51,2.828,32.37
icr006179,TZ-qyLwJZ,TZ,Chinyanghuku,Chinyanghuku-16-1,36.1579,-6.87134,10,7.122,0.45,0.11,12241,1006,11.4,281.7,10.4,1035,516,685.7,0.6999,1.535,138.1,104.5,4.031,29.31
icr006180,TZ-qyLwJZ,TZ,Chinyanghuku,Chinyanghuku-16-1,36.1579,-6.87134,35,6.912,0.36,0.104,14616,1234,13.6,281.1,10.7,1159,570.3,634,0.6479,1.33,150.4,87.33,4.276,28.53
icr006454,TZ-OrunmP,TZ,Pandambili,Pandambili-1-1,36.440201,-6.12601,10,7.82,0.27,0.193,9784,553,15.4,1068,9,3183,543,946,1.31,2.4,58,128,1.26,22
icr006455,TZ-OrunmP,TZ,Pandambili,Pandambili-1-1,36.440201,-6.12601,35,8.175,0.18,0.219,7888,605,11.6,1355,9.8,4679,552.9,946.8,2.478,2.375,54.5,130.1,1.285,23.13
icr006474,TZ-agvFql,TZ,Pandambili,Pandambili-2-1,36.435982,-6.08875,10,4.966,1.44,0.071,5497,407,8,455.3,15.6,281.8,130.1,1002,0.3331,1.159,217.3,21.78,1.38,22.91
icr006475,TZ-agvFql,TZ,Pandambili,Pandambili-2-1,36.435982,-6.08875,35,4.682,2.56,0.053,4298,415,4.5,306.3,19,207.1,89.5,1095,0.3337,1.315,153.7,9.266,2.825,42.71
icr006492,TZ-O5CjJi,TZ,Pandambili,Pandambili-3-1,36.4405,-6.06394,10,6.614,0.18,0.08,8932,807,5.1,394.8,10.6,1036,221.9,822.5,0.7449,1.879,69.76,112.9,1.937,33.43
icr006493,TZ-O5CjJi,TZ,Pandambili,Pandambili-3-1,36.4405,-6.06394,35,6.087,0.45,0.072,5647,432,2.9,339.6,13,804.5,239,1070,0.7579,1.694,83.66,87.07,1.365,32.44
icr006510,TZ-BE8vvF,TZ,Pandambili,Pandambili-4-1,36.443859,-6.04693,10,6.613,0.45,0.116,9343,861,9.8,450.2,13.5,812.6,272.4,865.2,1.01,1.424,115.5,102.3,2.348,46.95
icr006511,TZ-BE8vvF,TZ,Pandambili,Pandambili-4-1,36.443859,-6.04693,35,5.138,0.77,0.081,4288,416,6.1,430.6,27.6,448.3,198.6,1290,0.5459,1.047,127.1,37.09,1.539,36.59
icr006530,TZ-69kDxp,TZ,Pandambili,Pandambili-5-1,36.4577,-6.11749,10,7.225,0.18,0.095,7736,726,4.2,630.5,10.1,707.3,220.1,1070,0.7889,2.823,66.74,138.8,1.571,27.92
icr006531,TZ-69kDxp,TZ,Pandambili,Pandambili-5-1,36.4577,-6.11749,35,6.299,0.63,0.081,4825,474,2,589.8,14.1,670.2,274,1195,0.8279,2.707,63.92,123.6,0.79,30.76
icr006550,TZ-Omh1qE,TZ,Pandambili,Pandambili-6-1,36.463261,-6.0882,10,7.039,0.45,0.091,8627,772,7.2,825.3,9.3,1444,365.7,1098,0.6779,2.361,101.4,143.3,1.408,31.95
icr006551,TZ-Omh1qE,TZ,Pandambili,Pandambili-6-1,36.463261,-6.0882,35,6.884,0.54,0.065,5744,547,3.8,731,6.2,1595,337.2,1167,0.6839,2.341,97.68,144.4,1.23,25.34
icr006570,TZ-QBJEN9,TZ,Pandambili,Pandambili-7-2,36.464588,-6.06997,10,6.661,0.36,0.148,5271,403,6,607.3,20.1,896.2,252.7,1151,0.5928,2.247,70.46,151.8,2.326,39.89
icr006571,TZ-QBJEN9,TZ,Pandambili,Pandambili-7-2,36.464588,-6.06997,35,6.644,0.45,0.114,5447,440,3.8,420.5,12.6,834.7,232.5,1098,0.599,1.911,64.68,112.1,1.373,39.87
icr006586,TZ-B4TAMn,TZ,Pandambili,Pandambili-8-1,36.457722,-6.05575,10,7.062,0.59,0.193,9124,827,12.5,1186,13.6,1665,636.7,1165,0.7899,2.814,126.8,254.7,1.952,40.83
icr006587,TZ-B4TAMn,TZ,Pandambili,Pandambili-8-1,36.457722,-6.05575,35,6.912,0.59,0.143,7518,1096,6.3,1024,13.5,2191,880.4,1386,0.7719,3.407,114.9,279.1,2.132,57.86
icr006606,TZ-bww9lu,TZ,Pandambili,Pandambili-9-1,36.4836,-6.12151,10,5.266,0.59,0.064,5902,732,10.4,426.6,16.6,287.5,169.3,1157,0.4274,1.764,147.3,31.74,1.953,37.9
icr006607,TZ-bww9lu,TZ,Pandambili,Pandambili-9-1,36.4836,-6.12151,35,4.685,1.94,0.064,3808,615,4.2,329.4,37.5,238.5,121.5,1261,0.5006,1.448,89.31,11.22,1.728,38.19
icr006626,TZ-kn4Yyk,TZ,Pandambili,Pandambili-10-1,36.4863,-6.09622,10,6.06,0.27,0.046,4549,536,10.5,376.9,11.5,310.7,146,793.2,0.3215,0.8042,104.2,47.16,1.693,38.58
icr006627,TZ-kn4Yyk,TZ,Pandambili,Pandambili-10-1,36.4863,-6.09622,35,5.688,0.58,0.067,4578,640,7.9,474.2,12.4,501.3,205.8,1189,0.4847,0.9301,116.5,38.54,1.292,29.97
icr006646,TZ-2zClpd,TZ,Pandambili,Pandambili-11-1,36.4918,-6.0698,10,4.921,1.4,0.089,7199,701,10.6,424.7,20.6,370.4,134.2,1357,0.3913,1.772,150.6,51.87,3.66,32.36
icr006647,TZ-2zClpd,TZ,Pandambili,Pandambili-11-1,36.4918,-6.0698,35,4.677,2.21,0.066,4673,503,4.7,333.6,31.5,302,152.4,1495,0.4771,1.696,111.7,44.92,1.965,41.68
icr006666,TZ-HoUVhk,TZ,Pandambili,Pandambili-12-1,36.490952,-6.05855,10,4.811,1.22,0.117,6207,570,5.3,369.3,30.6,204.2,148.5,1189,0.4483,2.09,77,64.53,2.081,49.1
icr006667,TZ-HoUVhk,TZ,Pandambili,Pandambili-12-1,36.490952,-6.05855,35,4.554,1.44,0.197,3819,340,2,297.5,91.7,226.6,143.1,1314,0.4936,1.898,58.22,61.88,1.432,70.56
icr006684,TZ-4HjrCc,TZ,Pandambili,Pandambili-13-1,36.5064,-6.12214,10,6.615,0.54,0.072,7304,808,5.4,457.6,10.2,612.1,289.5,940.8,0.5776,1.805,96.45,142.8,1.911,25.62
icr006685,TZ-4HjrCc,TZ,Pandambili,Pandambili-13-1,36.5064,-6.12214,35,6.38,0.54,0.063,6230,630,3.6,419.1,9.7,626.7,295.4,1055,0.6919,1.865,90.69,119.6,2.253,38.53
icr006704,TZ-dgN3M5,TZ,Pandambili,Pandambili-14-1,36.50845,-6.0906,10,6.314,0.63,0.074,5679,566,8.3,456.1,10.2,451.3,202.8,1006,0.3356,1.305,118.9,131.7,2.464,29.26
icr006705,TZ-dgN3M5,TZ,Pandambili,Pandambili-14-1,36.50845,-6.0906,35,5.757,0.68,0.098,4419,659,4.3,464.2,17.3,625.2,257.6,1308,0.5305,0.9912,117.4,89.46,2.882,31.74
icr006724,TZ-LIUg2d,TZ,Pandambili,Pandambili-15-1,36.5067,-6.07987,10,5.274,0.86,0.079,6480,683,8.1,552.9,21.6,349.2,165.6,1189,0.4255,2.237,152,48.34,1.264,39.51
icr006725,TZ-LIUg2d,TZ,Pandambili,Pandambili-15-1,36.5067,-6.07987,35,4.792,1.62,0.065,3941,565,4.5,340.5,36,234.8,144,1208,0.458,1.683,97.09,15.26,1.629,37.59
icr006744,TZ-ctinVS,TZ,Pandambili,Pandambili-16-1,36.5135,-6.05373,10,5.727,0.63,0.047,4101,444,7.5,283.9,11.6,241.5,145.7,899,0.2032,1.119,132.4,58.53,6.268,31.82
icr006745,TZ-ctinVS,TZ,Pandambili,Pandambili-16-1,36.5135,-6.05373,35,4.945,1.08,0.055,2659,247,6.1,200.1,16.7,117,76.7,1073,0.1316,0.5436,113.6,12.61,1.797,38.27
icr007730,TZ-8fuheS,TZ,Kiberashi,Kiberashi-1-1,37.445068,-5.381047,10,4.995,0.48,0.106,16341,1419,11.2,458.5,22.5,829.7,300.1,1226,0.9632,0.729,163.8,67.68,2.62,23.39
icr007731,TZ-8fuheS,TZ,Kiberashi,Kiberashi-1-1,37.445068,-5.381047,35,4.574,1.14,0.109,8376,814,5.7,403.3,45.5,513.1,313.5,1471,1.003,0.7151,122.2,67.33,1.209,43.34
icr007750,TZ-61WGaB,TZ,Kiberashi,Kiberashi-2-1,37.448967,-5.352508,10,5.934,0.28,0.037,12595,884,5.9,109.4,9.5,993,214.8,875,0.3955,1.085,125.9,97.78,2.285,33.22
icr007751,TZ-61WGaB,TZ,Kiberashi,Kiberashi-2-1,37.448967,-5.352508,35,5.594,0.38,0.037,7695,492,3.2,57.6,10.3,704,181.9,953,0.3463,1.116,124,60.57,0.989,31
icr007770,TZ-TPVKit,TZ,Kiberashi,Kiberashi-3-1,37.453918,-5.334045,10,5.462,0.67,0.046,7766,575,12.1,42,10,336.7,265.9,579.4,0.4538,0.1575,236.3,8.099,0.882,127.1
icr007771,TZ-TPVKit,TZ,Kiberashi,Kiberashi-3-1,37.453918,-5.334045,35,5.233,0.38,0.058,3043,205,19.8,192.8,13.6,772.3,344.6,673.7,0.473,0.1983,217.8,22.01,1.808,58.47
icr007790,TZ-P2zUVM,TZ,Kiberashi,Kiberashi-4-1,37.450642,-5.319002,10,5.312,0.38,0.057,12638,910,5.2,395,14.6,971,423.4,1535,0.6265,2.035,113.3,77.22,1.846,47.75
icr007791,TZ-P2zUVM,TZ,Kiberashi,Kiberashi-4-1,37.450642,-5.319002,35,4.966,0.76,0.056,8981,666,3.7,275.8,15.4,694.9,405.6,1749,0.7119,2.17,108.5,63.32,1.534,31.92
icr007810,TZ-GS1u5b,TZ,Kiberashi,Kiberashi-5-1,37.469246,-5.382455,10,6.228,0.38,0.112,19942,1780,17.1,553.9,15.5,1841,393.5,1513,1.144,1.203,123.5,65.27,2.551,21.5
icr007811,TZ-GS1u5b,TZ,Kiberashi,Kiberashi-5-1,37.469246,-5.382455,35,6.05,0.19,0.123,9122,704,4,426,12.7,1056,373.3,1734,0.9594,1.257,84.35,48.7,2.424,44.3
icr007830,TZ-A34mHJ,TZ,Kiberashi,Kiberashi-6-1,37.466049,-5.353312,10,5.701,0.19,0.05,14660,991,3.5,142.5,11.9,1281,397.8,1548,0.6862,1.059,96.45,29.78,2.422,60.7
icr007831,TZ-A34mHJ,TZ,Kiberashi,Kiberashi-6-1,37.466049,-5.353312,35,5.809,0.28,0.046,11484,649,1.6,67.6,9.3,1220,516.8,1855,0.768,1.107,74.36,13.41,2.902,60.1
icr007850,TZ-LRNSPa,TZ,Kiberashi,Kiberashi-7-1,37.468575,-5.33593,10,4.613,0.95,0.04,6147,376,57.4,117.1,10.6,135,72.3,558.1,0.1135,0.1916,214.5,16.72,2.365,20.55
icr007851,TZ-LRNSPa,TZ,Kiberashi,Kiberashi-7-1,37.468575,-5.33593,35,4.491,1.33,0.024,2999,157,31.9,67.7,10.2,42.6,54.5,565.4,0.0354,0.1947,166.9,4.867,1.092,36.83
icr007870,TZ-diGOms,TZ,Kiberashi,Kiberashi-8-1,37.47094,-5.30758,10,4.766,1.04,0.035,4818,260,28,129.8,9.5,81.2,92.1,503.8,0.1181,0.11,228.1,11.38,2.309,27.13
icr007871,TZ-diGOms,TZ,Kiberashi,Kiberashi-8-1,37.47094,-5.30758,35,4.914,1.43,0.022,3379,167,11.3,121.4,8.1,29.3,104.4,591.9,0.1411,0.111,263.5,2.77,1.027,32.14
icr007890,TZ-Ed20g8,TZ,Kiberashi,Kiberashi-9-1,37.496696,-5.381767,10,6.469,0.28,0.07,15914,1326,40.3,584.5,9.3,1693,332,1262,0.9394,1.08,119.8,134.9,2.65,32.08
icr007891,TZ-Ed20g8,TZ,Kiberashi,Kiberashi-9-1,37.496696,-5.381767,35,6.228,0.28,0.08,16331,1296,10.3,402,10.6,1885,357.2,1377,0.8714,0.9395,120.3,133.8,2.864,23.08
icr007910,TZ-AWjVJe,TZ,Kiberashi,Kiberashi-10-1,37.496891,-5.362477,10,5.517,0.38,0.051,9377,764,8.5,229.2,9.4,490.9,240,1003,0.2083,0.8278,131.2,49.09,1.576,27.66
icr007911,TZ-AWjVJe,TZ,Kiberashi,Kiberashi-10-1,37.496891,-5.362477,35,5.537,0.57,0.032,6211,504,4.6,243.9,9.1,469.4,268,1297,0.2109,0.8815,137.4,34.87,1.153,41.38
icr007928,TZ-pKGn88,TZ,Kiberashi,Kiberashi-11-1,37.493351,-5.339337,10,6.057,0.28,0.074,10446,623,22.8,178.8,12,1709,446.5,786.8,0.6116,0.2432,256.1,38.87,2.384,22.67
icr007929,TZ-pKGn88,TZ,Kiberashi,Kiberashi-11-1,37.493351,-5.339337,35,7.114,0.19,0.305,5324,382,21.1,72.6,14.8,2518,428.5,727.6,0.6142,0.2496,260.4,35.82,2.742,42.94
icr007949,TZ-LIQqaT,TZ,Kiberashi,Kiberashi-12-2,37.492508,-5.311833,10,5.558,0.29,0.031,6942,500,7.1,49.5,10,548.9,224.1,889.2,0.1152,0.9507,89.68,129,0.863,28.99
icr007950,TZ-LIQqaT,TZ,Kiberashi,Kiberashi-12-2,37.492508,-5.311833,35,5.693,0.38,0.056,8001,563,8.6,115,12.9,1055,337.6,1175,0.2782,1.826,148.8,214.9,1.248,32.76
icr007967,TZ-G8uf1q,TZ,Kiberashi,Kiberashi-13-1,37.515114,-5.377933,10,5.39,0.66,0.067,21677,1802,2.1,283.9,13.5,773,384.6,1776,0.5877,1.212,88.85,55.41,2.438,43.42
icr007968,TZ-G8uf1q,TZ,Kiberashi,Kiberashi-13-1,37.515114,-5.377933,35,6.046,0.48,0.061,11928,960,5.1,443.8,11.4,1451,460.8,1545,0.9378,1.34,109.8,125.1,3.73,41.45
icr007987,TZ-fLRjjA,TZ,Kiberashi,Kiberashi-14-1,37.509857,-5.35679,10,6.238,0.48,0.063,9353,859,4.5,450.8,10.3,1015,467.4,1574,0.735,1.262,106.5,64.32,2.329,24.16
icr007988,TZ-fLRjjA,TZ,Kiberashi,Kiberashi-14-1,37.509857,-5.35679,35,6.012,0.57,0.065,7684,639,12.1,449.1,18.2,684.8,328.4,1467,0.5529,1.067,103.3,33.39,4.141,47.72
icr008007,TZ-29X5Ck,TZ,Kiberashi,Kiberashi-15-1,37.515327,-5.3337,10,5.993,0.47,0.095,16399,1048,145,376.9,10.9,1246,290.4,1253,0.5069,1.124,153.7,47.71,2.798,46.15
icr008008,TZ-29X5Ck,TZ,Kiberashi,Kiberashi-15-1,37.515327,-5.3337,35,5.65,0.48,0.053,10876,616,109.2,274.6,11.4,734.3,222.5,1458,0.3603,1.369,134.1,29.11,0.98,20.73
icr008027,TZ-4l4G2H,TZ,Kiberashi,Kiberashi-16-1,37.51255,-5.308519,10,5.86,0.48,0.073,6443,454,20.8,146.7,10.8,252.5,175.5,428.5,0.3349,0.3979,137,68.79,2.582,30.82
icr008028,TZ-4l4G2H,TZ,Kiberashi,Kiberashi-16-1,37.51255,-5.308519,35,5.441,0.86,0.038,3383,213,9,86.7,9.8,62,119.9,480.4,0.1522,0.2673,151,23.69,1.731,30.38
icr009918,TZ-4KBGSw,TZ,Mbinga,Mbinga-1-1,35.1269,-11.1227,10,6.159,0.2,0.075,44886,3620,48.6,352.7,7.1,1914,326.6,2119,0.3327,1.602,83.15,113.9,5.196,37.93
icr009919,TZ-4KBGSw,TZ,Mbinga,Mbinga-1-1,35.1269,-11.1227,35,5.722,0.25,0.048,28713,1978,21.6,118.9,7.3,1194,171.7,2129,0.2502,3.342,149.3,156.3,2.971,62.71
icr009938,TZ-8nxnVI,TZ,Mbinga,Mbinga-2-1,35.130199,-11.099628,10,5.619,0.7,0.048,26012,1781,5.9,122.6,6.5,368.4,79.8,2304,0.1371,2.2,90.76,144.8,1.102,51.32
icr009939,TZ-8nxnVI,TZ,Mbinga,Mbinga-2-1,35.130199,-11.099628,35,5.185,0.85,0.033,12849,768,2.2,50.8,5.5,200.5,54,2363,0.1308,1.841,71.42,170.5,1.872,39.26
icr009958,TZ-BxyOMt,TZ,Mbinga,Mbinga-3-1,35.125401,-11.0745,10,5.745,0.75,0.041,34781,2292,5.7,171.3,7.2,589.4,120,2384,0.1358,1.52,66.57,120.2,1.951,64.74
icr009959,TZ-BxyOMt,TZ,Mbinga,Mbinga-3-1,35.125401,-11.0745,35,5.06,1.55,0.023,12258,633,1.9,46.5,5.4,133.4,37.4,2179,0.1054,1.704,135,172.6,1.399,56.35
icr009978,TZ-060T2z,TZ,Mbinga,Mbinga-4-1,35.126598,-11.0597,10,5.596,1.05,0.026,16013,958,2.8,171.6,7.5,241.9,106.7,2201,0.1301,3.113,91.45,344.1,2.147,36.72
icr009979,TZ-060T2z,TZ,Mbinga,Mbinga-4-1,35.126598,-11.0597,35,5.322,0.65,0.024,7481,407,0.6,135,5,133.3,102.2,1990,0.0662,2.543,99.97,447,1.501,50.28
icr009998,TZ-vqvZiH,TZ,Mbinga,Mbinga-5-1,35.145699,-11.1232,10,5.201,2.4,0.027,44647,2671,10.8,94,7.1,215.8,44.1,2628,0.1132,1.475,76.35,190.4,1.941,59.3
icr009999,TZ-vqvZiH,TZ,Mbinga,Mbinga-5-1,35.145699,-11.1232,35,5.201,1.8,0.017,24266,1229,2.4,23.2,5.4,124,25.3,2431,0.0067,2.015,88.69,207.4,0.844,36.8
icr010018,TZ-UhbupQ,TZ,Mbinga,Mbinga-6-1,35.149799,-11.1061,10,5.43,1.8,0.021,42244,2575,8.2,36.6,6.4,248.2,33.6,2605,0.1116,1.27,84.17,106.2,1.314,47.27
icr010019,TZ-UhbupQ,TZ,Mbinga,Mbinga-6-1,35.149799,-11.1061,35,4.932,1.9,0.019,16913,764,2.3,22.8,7.6,109,28.7,2444,0.1159,1.691,91.57,144.1,1.308,60.71
icr010038,TZ-3vRgYM,TZ,Mbinga,Mbinga-7-1,35.151798,-11.0794,10,6.509,0.1,0.057,21741,1119,3,334.9,5.8,1786,270.9,1576,0.2289,4.566,114.3,474.8,3.5,52.8
icr010039,TZ-3vRgYM,TZ,Mbinga,Mbinga-7-1,35.151798,-11.0794,35,6.376,0.1,0.034,9939,605,0.5,264,6.6,1011,225.9,1686,0.1184,2.881,108,455.3,2.699,64.46
icr010058,TZ-bGffbo,TZ,Mbinga,Mbinga-8-1,35.151737,-11.057103,10,5.43,1.6,0.048,57378,3274,8.2,82.6,7.6,471.9,99.6,2630,0.1138,0.9957,60.24,119.6,1.421,47.95
icr010059,TZ-bGffbo,TZ,Mbinga,Mbinga-8-1,35.151737,-11.057103,35,5.069,1.95,0.022,27829,1343,2.9,29.4,4.8,122.9,27.4,2538,0.0452,1.405,92.62,107.2,0.874,46.39
icr010078,TZ-VHyT13,TZ,Mbinga,Mbinga-9-1,35.174099,-11.1173,10,5.642,1,0.034,42456,2643,11.2,71.8,6,466.2,106.5,2371,0.0638,2.687,67.42,178.8,1.569,53.16
icr010079,TZ-VHyT13,TZ,Mbinga,Mbinga-9-1,35.174099,-11.1173,35,5.354,1.3,0.023,20183,946,4.4,35.4,6.1,189.3,43.1,2368,0.01,2.874,83.89,247.8,0.991,49.23
icr010098,TZ-xCCssL,TZ,Mbinga,Mbinga-10-1,35.172298,-11.1051,10,5.808,0.5,0.045,44534,3079,3.7,107.8,6.1,871.9,138.3,2457,0.133,2.139,50.6,166.1,1.063,50.19
icr010099,TZ-xCCssL,TZ,Mbinga,Mbinga-10-1,35.172298,-11.1051,35,5.387,0.7,0.039,20006,1122,1.3,39.4,5.4,265.2,46.4,2325,0.0306,3.188,74.79,312.4,1.371,51.7
icr010118,TZ-59jCfg,TZ,Mbinga,Mbinga-11-1,35.1693,-11.0794,10,5.29,2.2,0.038,48237,2900,3.2,48.3,6.6,467.4,83.6,2388,0.0839,2.762,102.4,298,1.337,51.43
icr010119,TZ-59jCfg,TZ,Mbinga,Mbinga-11-1,35.1693,-11.0794,35,5.214,1.95,0.028,17268,796,2.5,23.3,6,143.5,28,2242,0.0044,3.027,119.3,331.3,1.444,56.27
icr010138,TZ-VYrJTK,TZ,Mbinga,Mbinga-12-1,35.169498,-11.0581,10,5.579,1.25,0.042,30799,1786,14,151.9,6.2,251.2,80.7,2295,0.0624,2.061,111.6,211.7,1.414,47.3
icr010139,TZ-VYrJTK,TZ,Mbinga,Mbinga-12-1,35.169498,-11.0581,35,5.165,1.55,0.033,15342,647,5.1,212.5,6.8,727,179.5,1449,0.1487,4.141,117.5,686.6,4.246,60.65
